tube_od_in,fpi,n_rows,Q_total_kW,T_out_K,T_out_C,dP_gas_Pa,dP_gas_Torr
0.75,4.0,8,23.617384044952733,313.34989606012044,40.199896060120466,99.5104777474495,0.7463920264281176
0.75,4.0,10,23.617383957733303,313.3498960372597,40.19989603725975,103.59201635033162,0.77700616815178
0.75,4.0,12,23.617383869625314,313.3498960370967,40.19989603709672,107.70325160689504,0.8078430537112782
0.75,4.0,14,23.61738378086499,313.349896037096,40.19989603709604,111.84484049448542,0.8389076108555634
0.75,8.0,8,23.617384018291904,313.34989616664166,40.19989616664168,100.69927568148762,0.75530876885651
0.75,8.0,10,23.61738392417532,313.34989616664166,40.19989616664168,105.0907900644296,0.7882479265569793
0.75,8.0,12,23.617383829319763,313.34989616664166,40.19989616664168,109.51678478064912,0.8214457087401112
0.75,8.0,14,23.61738373370757,313.34989616664166,40.19989616664168,113.97808387990437,0.8549082963044686
0.75,10.0,8,23.617384004193934,313.3498961668341,40.19989616683415,101.35699261163563,0.7602420651628061
0.75,10.0,10,23.61738390641771,313.3498961668341,40.19989616683415,105.91926681152268,0.7944620303590005
0.75,10.0,12,23.617383807842632,313.3498961668341,40.19989616683415,110.51881589645859,0.8289615809578208
0.75,10.0,14,23.617383708448806,313.3498961668341,40.19989616683415,115.15656740953284,0.8637476741237968
1.0,4.0,8,23.617261567302187,313.3609965577611,40.21099655776112,61.379362606539416,0.4603843522189842
1.0,4.0,10,23.617261515225394,313.3609965577546,40.21099655775464,63.80948621875302,0.4786118286460826
1.0,4.0,12,23.617261462938156,313.3609965577546,40.21099655775464,66.24942641322946,0.49691293569875533
1.0,4.0,14,23.61726141043798,313.3609965577546,40.21099655775464,68.6993030416046,0.5152885723406834
1.0,8.0,8,23.61726155200946,313.3609965587411,40.2109965587411,62.09247713202217,0.46573316580926005
1.0,8.0,10,23.61726149603268,313.3609965587411,40.2109965587411,64.7045869274832,0.48532565463676813
1.0,8.0,12,23.61726143981244,313.3609965587411,40.2109965587411,67.32805726828303,0.5050033547972805
1.0,8.0,14,23.617261383345546,313.3609965587411,40.2109965587411,69.96303757394537,0.524767387032488
1.0,10.0,8,23.617261543614166,313.36099655874494,40.21099655874497,62.48423438367604,0.46867159496314215
1.0,10.0,10,23.617261485492783,313.36099655874494,40.21099655874497,65.1964203151615,0.4890147186147935
1.0,10.0,12,23.61726142710869,313.36099655874494,40.21099655874497,67.9208650311615,0.5094497909659433
1.0,10.0,14,23.617261368458305,313.36099655874494,40.21099655874497,70.6577361467073,0.5299780692361897
1.25,4.0,8,23.617214886180278,313.36523698813147,40.215236988131494,41.87462029840367,0.3140863495777416
1.25,4.0,10,23.617214853305832,313.36523698813147,40.215236988131494,43.40872659138381,0.3255931248509909
1.25,4.0,12,23.617214820350366,313.36523698813147,40.215236988131494,44.94661397605091,0.33712826072254326
1.25,4.0,14,23.61721478731327,313.36523698813147,40.215236988131494,46.48831053700599,0.3486919678448117
1.25,8.0,8,23.617214876524663,313.36523698813284,40.21523698813286,42.32520485045984,0.31746602099023297
1.25,8.0,10,23.617214841205566,313.36523698813284,40.21523698813286,43.97339251561402,0.32982847928784464
1.25,8.0,12,23.617214805792848,313.36523698813284,40.21523698813286,45.625948895954934,0.34222370573464944
1.25,8.0,14,23.61721477028577,313.36523698813284,40.21523698813286,47.28290890060441,0.3546519621713176
1.25,10.0,8,23.617214871222753,313.36523698813284,40.21523698813286,42.572621799528406,0.3193218058499603
1.25,10.0,10,23.617214834560343,313.36523698813284,40.21523698813286,44.28349580148165,0.33215445163950175
1.25,10.0,12,23.617214797797004,313.36523698813284,40.21523698813286,45.99907974013331,0.34502242495712115
1.25,10.0,14,23.617214760931905,313.36523698813284,40.21523698813286,47.71941271146886,0.3579260190476355
